verse_key,version_id,eng,local
GEN.1.1,4573,When God began to create the heavens and the earth.,"A piiluu saŋ, Naaŋmen da iri la a sazu ane a teŋɛ."
GEN.1.2,4573,"the earth was without shape or form, it was dark over the deep sea, and Gods wind swept over the waters.","a teŋɛ da ba taa waaloŋ zaa. A teŋɛ da waa la vuo ane zaglaa lɛ, ka ligruŋ da page a zizuluŋ kyɛ ka a Naaŋmen Vooroŋ da yɔ laara a koɔ̃ zu."
MAT.1.1,4573,"A record of the ancestors of Jesus Christ, son of David, son of Abraham.","A Yeezu Kirista sããkommine dɔge-tu-taa yoe la ama; O da waa la Devid bie, ka Devid meŋ waa Aboraham bie."
MAT.1.2,4573,Abraham was the father of Isaac. Isaac was the father of Jacob. Jacob was the father of Judah and his brothers.,"Aboraham dɔge la Aizik, ka Aizik dɔge Gyekɔb, ka Gyekɔb dɔge Gyuda ane o yɔɔmine."
GEN.8.1,4573,"God remembered Noah, all those alive, and all the animals with him in the ark. God sent a wind over the earth so that the waters receded.",Naaŋmen da leɛ-teɛre la a Nowa ane a donne zaa ane a yiri donne zaa naŋ da laŋ ne o be a gbori poɔ yɛlɛ. Naaŋmen da eɛɛ la ka saseɛ fu a teŋɛzu ka a koɔ̃ da tage sigi.
GEN.8.2,4573,The springs of the deep sea and the skies closed up. The skies held back the rain.,"A teŋɛ bulnimie zaa da serɛɛ la, ka a saluoni koɔ̃ tu yiibu ziiri page a saluoni poɔ, ka a saa ŋmaa."
GEN.8.3,4573,"The waters receded gradually from the earth. After one hundred fifty days, the waters decreased.","A koɔ̃ da serɛɛ la a teŋɛzu belãã belãã lɛ gɛrɛ. A beri kɔɔ, lezaayi ne pie puoriŋ, a koɔ̃ da sigee la;."
GEN.8.4,4573,"and in the seventh month, on the seventeenth day, the ark came to rest on the Ararat mountains.","a kyuuri ayopoĩ poɔ, a beri pie ne ayopoĩ daare, a gbori da sigi wa dɔgle la Ararat taŋzu."
GEN.8.5,4573,"The waters decreased gradually until the tenth month, and on the first day of the tenth month the mountain peaks appeared.","A koɔ̃ da naŋ sigre la a te ta a kyuuri pie poɔ. A kyuuri pie bebi-dɛndɛŋ daare, a tanne zuri da sããɛ la."
GEN.8.6,4573,"After forty days, Noah opened the window of the ark that he had made.","A beri lezaayi naŋ da wa baare puoriŋ, a Nowa da yuo la a gbori o naŋ da maale takoro."
GEN.8.7,4573,"He sent out a raven, and it flew back and forth until the waters over the entire earth had dried up.","a e ka galeŋgaa yi, a maŋ ɛge gaa kyɛ leɛ wa a te ta lɛ saŋ a koɔ̃ zaa naŋ da wa te sere a teŋɛzu."
GEN.8.8,4573,Then he sent out a dove to see if the waters on all of the fertile land had subsided.,"O pãã da eɛɛ la ka ŋmanee yi, a na te nyɛ ka a koɔ̃ serɛɛ la a teŋɛŋ bee;."
GEN.8.9,4573,"but the dove found no place to set its foot. It returned to him in the ark since waters still covered the entire earth. Noah stretched out his hand, took it, and brought it back into the ark.","kyɛ a ŋmanee da ba nyɛ zie zaa na dɔɔ. O da leɛ wa la a Nowa zie, bonso, a koɔ̃ da naŋ be la a teŋɛzu zaa. A Nowa da teɛ la o nu a nyɔge a ŋmanee wa ne o zie a gbori poɔ."
GEN.8.10,4573,He waited seven more days and sent the dove out from the ark again.,A Nowa da kyɛllɛɛ la ka beri ayopoĩ wa tɔle kyɛ ka o da la e ka a ŋmanee yi a gbori poɔ;.
GEN.8.11,4573,"The dove came back to him in the evening, grasping a torn olive leaf in its beak. Then Noah knew that the waters were subsiding from the earth.","a ŋmanee da leɛ wa la a Nowa zie zimaane saŋ, a taa kããteɛ vamaara kyage o noɔre wa ne. Lɛ la ka a Nowa da baŋ ka a koɔ̃ serɛɛ la a teŋɛzu."
GEN.8.12,4573,"He waited seven more days and sent out the dove, but it didnt come back to him again.","A Nowa da la kyɛllɛɛ la ka bebie ayopoĩ la ta, ka o la e ka a ŋmanee yi a gbori poɔ, kyɛ a ŋmanee da ba la leɛ wa."
GEN.7.1,4573,"The LORD said to Noah, Go into the ark with your whole household, because among this generation Ive seen that you are a moral man.","A DAANA pãã da yeli ko la a Nowa, “Kpɛ a gbori, fõõ ane a fo yideme zaa, bonso, N nyɛ fo la ka fo e nemmeŋɛ a zenɛ noba zaa poɔ."
GEN.8.13,4573,"In Noahs six hundred first year, on the first day of the first month, the waters dried up from the earth. Noah removed the arks hatch and saw that the surface of the fertile land had dried up.","A Nowa naŋ da wa nyɛ yuomo kɔɔraayoɔbo, a yuon-dɛndɛŋ poɔ, a kyuu-dɛndɛŋ bebi-dɛndɛŋ daare, a koɔ̃ zaa da sere la a teŋɛzu. A Nowa da yuo la a gbori nɔpɔgraa a kyɛ kaa, a da nyɛ ka a teŋɛ koro la."
GEN.4.1,4573,"The man Adam knew his wife Eve intimately. She became pregnant and gave birth to Cain, and said, I have given life to a man with the LORDs help.","A Adama da baŋ la a o pɔge Hawa sɛŋ poɔ, ka o da taa poɔ a dɔge Keein, a yele, “A DAANA la soŋ ka N dɔge dɔɔ.”."
GEN.7.2,4573,"From every clean animal, take seven pairs, a male and his mate; and from every unclean animal, take one pair, a male and his mate.","A donveɛle zaa poɔ, iri donne ayi ayi ziiri ayopoĩ, bondaa ane bompɔge; kyɛ iri a don-dɛgɛ ayi ayi, bondaa ane bompɔge;."
GEN.8.14,4573,"In the second month, on the twenty-seventh day, the earth was dry.","A kyuuri ayi poɔ, a beri lezare ane ayopoĩ daare, a teŋɛ da koe la."
GEN.6.1,4573,"When the number of people started to increase throughout the fertile land, daughters were born to them.","Nensaalba naŋ da wa piili yɛllɛ a teŋɛzu, a dɔgrɔ pɔgeyaare."
GEN.4.2,4573,"She gave birth a second time to Cains brother Abel. Abel cared for the flocks, and Cain farmed the fertile land.","A lɛ puoriŋ, o da dɔge la a Keein yɔɔ Abɛl. A Abɛl da waa la pekyeenɛ kyɛ ka a Keein da e koɔraa."
GEN.5.1,4573,"This is the record of Adams descendants. On the day God created humanity, he made them to resemble God.","A Adama boorɔ dɔge-tu-taa la ama. A Naaŋmen naŋ da iri nensaala, O da maale ba la ka ba yi ne O."
GEN.2.1,4573,The heavens and the earth and all who live in them were completed.,A sazu ane a teŋɛ ane a poɔ boma zaa pãã da maale baarɛɛ la.
GEN.7.3,4573,"and from the birds in the sky as well, take seven pairs, male and female, so that their offspring will survive throughout the earth.","kyɛ iri a bon-ɛgre meŋ ayi ayi ziiri ayopoĩ, bondaa ane bompɔge ka a lɛ vɛŋ ka a boorɔ zaa be a teŋɛzu zie zaa."
GEN.1.3,4573,"God said, Let there be light. And so light appeared.","Lɛ la ka Naaŋmen da yeli, “Vɛŋ ka kyaane bebe”; ka a kyaane wa bebe."
GEN.8.15,4573,God spoke to Noah.,Lɛ la ka Naaŋmen da yeli ko a Nowa:.
GEN.6.2,4573,"The divine beings saw how beautiful these human women were, so they married the ones they chose.",a tenvelaa tontonema da nyɛ ba la ka ba veɛlɛ; ka ba da kaara ire ba pɔgeba ba poɔ.
GEN.4.3,4573,"Some time later, Cain presented an offering to the LORD from the lands crops.",Saŋ kaŋ da wa taɛ la ka a Keein da taa o koɔbo boma mine wa ko a DAANA kyɔɔtaa.
GEN.5.2,4573,and created them male and female. He blessed them and called them humanity on the day they were created.,"O da iri ba la dɔɔ ane pɔge kyɛ da ko ba maaloo, a pore ba yuori, “Nensaala” a ba iruu saŋ."
GEN.2.2,4573,"On the sixth day God completed all the work that he had done, and on the seventh day God rested from all the work that he had done.","A beri ayopoĩ daare, Naaŋmen da toŋ la a O toma zaa O naŋ da tonɔ baare kyɛ pãã da pɛnne a beri ayopoĩ daare a yi a O toma zaa poɔ."
GEN.7.4,4573,In seven days from now I will send rain on the earth for forty days and forty nights. I will wipe off from the fertile land every living thing that I have made.,"Bonso, a beri ayopoĩ puoriŋ, N na e la ka saa mi a teŋɛzu beri lezaayi, ŋmenaa ane tensogɔ. N na e la ka a bonvoba zaa N naŋ iri ka a be a teŋɛzu ta la bebe.”."
GEN.3.1,4573,"The snake was the most intelligent of all the wild animals that the LORD God had made. He said to the woman, Did God really say that you shouldnt eat from any tree in the garden.","A wɛdonne zaa a DAANA Naaŋmen naŋ da iri, a waabo la da nyaa yaga a zaa poɔ. A waabo da soore la a pɔge, “Naaŋmen mɔɔ sereŋ yelee la, ‘Yɛ tɔɔ wa dire a gaadin poɔ teɛ kanzaa wɔne?’ ”."
GEN.6.3,4573,"The LORD said, My breath will not remain in humans forever, because they are flesh. They will live one hundred twenty years.","Lɛ la ka a DAANA da yeli, “A N vooroŋ koŋ la be a nensaalba poɔ tegitegilɛ, bonso, ba waa la noba naŋ na kpi. A ba yuomo na waa la yuomo kɔɔ a dɔgle lezare.”."
GEN.4.4,4573,while Abel presented his flocks oldest offspring with their fat. The LORD looked favorably on Abel and his sacrifice.,"ka a Abɛl meŋ da iri o peere poɔ pebil-dɛŋ ko, a iri a nɛne zi-velaa zie ko a DAANA kyɔɔtaa. A DAANA poɔ da pɛle ne la a Abɛl ane a o kyɔɔtaa."
GEN.8.16,4573,"Go out of the ark, you and your wife, your sons, and your sons wives with you.","“Yi a gbori poɔ, fõõ ne a fo pɔge ane a fo bidɔbɔ ane a fo bidɔbɔ pɔgeba."
GEN.5.3,4573,"When Adam was years old, he became the father of a son in his image, resembling him, and named him Seth.","A Adama naŋ da wa te nyɛ yuomo kɔɔ ne lezare ane pie, o da dɔge la bidɔɔ ka o yi ne o. O da pore la o yuori ka Sɛf."
GEN.2.3,4573,"God blessed the seventh day and made it holy, because on it God rested from all the work of creation.","Naaŋmen pãã da maale la a beri ayopoĩ daare, a e ka o e bebi-soŋ, bonso, a lɛ daare la ka O da pɛnne, a O boma iruu toma zaa eŋɛ."
GEN.7.5,4573,Noah did everything the LORD commanded him.,A Nowa da e la a lɛ zaa a DAANA naŋ da yeli ka o e.
GEN.3.2,4573,"The woman said to the snake, We may eat the fruit of the gardens trees.","A pɔge da yeli ko la a waabo, “Te na toɔ̃ di la a teere naŋ be a gaadin poɔ wɔmɔ;."
GEN.1.4,4573,God saw how good the light was. God separated the light from the darkness.,Naaŋmen da nyɛ la a kyaane ka o soma; ka O da wɛle a kyaane yi a ligruŋ poɔ.
GEN.4.5,4573,but didnt look favorably on Cain and his sacrifice. Cain became very angry and looked resentful.,kyɛ O poɔ da ba pɛle ne Keein ane a o kyɔɔtaa. Lɛ la ka Keein suuri da iri ka o sãã niŋe.
GEN.8.17,4573,"Bring out with you all the animals of every kind—birds, livestock, everything crawling on the ground—so that they may populate the earth, be fertile, and multiply on the earth.","Taa a bonvoba na zaa ne fo naŋ kpɛ a gbori poɔ yi ne; a bon-ɛgre ane a donne ane a bonvuuri zaa naŋ vuuro teŋɛ; ka a na bebe yaga a teŋɛzu, a dɔgrɔ, a yɛllɛ a teŋɛzu.”."
GEN.2.4,4573,This is the account of the heavens and the earth when they were created. On the day the LORD God made earth and sky.,Ŋaa la ka a sazu ane a teŋɛ iruu yɛlɛ da tu. A daare na a DAANA Naaŋmen naŋ da iri a sazu ane a teŋɛ.
GEN.5.4,4573,"After Seths birth, Adam lived years; he had other sons and daughters.","A Adama naŋ da wa dɔge a o bidɔɔ Sɛf puoriŋ, o da nyɛ la yuomo kɔɔraanii; kyɛ o da la dɔge la bidɔbɔ ane pɔgeyaare."
GEN.3.3,4573,"but not the fruit of the tree in the middle of the garden. God said, Dont eat from it, and dont touch it, or you will die.","kyɛ Naaŋmen yelee la, ‘Yɛ tɔɔ wa dire a teɛ na naŋ be a gaadin sogɔŋ wɔne, bee a seene o, ka lɛ naane, yɛ na kpi la.’ ”."
GEN.1.5,4573,God named the light Day and the darkness Night. There was evening and there was morning: the first day.,"Naaŋmen da pore la a kyaane yuori ka Ŋmenaa kyɛ pore a ligruŋ ka Tensogɔ. Lɛ la ka zie da maa, a nyaa baguo saŋ, a bebi-dɛndɛŋ soba."
GEN.6.4,4573,"In those days, giants lived on the earth and also afterward, when divine beings and human daughters had sexual relations and gave birth to children. These were the ancient heroes, famous men.","A bebie na poɔ, Nensaal-gogobie da be la a teŋɛzu, kyɛ a puoriŋ, a Naaŋmen bidɔbɔ naŋ wa laŋ ne a nensaalba pɔgeyaare sɛŋ poɔ, ba da dɔge la biiri ko ba. A biiri bama da la a dakoroŋ na gandaare, a tammiri gandaare."
GEN.7.6,4573,Noah was years old when the floodwaters arrived on earth.,Nowa da nyɛ la yuomo kɔɔraayoɔbo a saŋ na a kɔmpiiri naŋ da wa a teŋɛzu.
GEN.2.5,4573,"before any wild plants appeared on the earth, and before any field crops grew, because the LORD God hadnt yet sent rain on the earth and there was still no human being to farm the fertile land.","ka teɛ zaa da ba kye a teŋɛzu, ka moɔ meŋ zaa da naŋ ba buli sɛre, bonso, a DAANA Naaŋmen da ba e ka saa mi a teŋɛzu, ka neɛzaa da kyebe a na kɔ a teŋɛ."
GEN.8.18,4573,"So Noah went out of the ark with his sons, his wife, and his sons wives.",Lɛ la ka a Nowa ne o bidɔbɔ ane o pɔge ane o bidɔbɔ pɔgeba da wa yi a gbori poɔ.
GEN.5.5,4573,"In all, Adam lived years, and he died.","A Adama yuomo zaa o naŋ da nyɛ a teŋɛzu da waa la yuomo kɔɔraawae ane lezare ne pie, kyɛ da kpi."
